candidate_id,survey_date,overall_experience_rating,communication_rating,process_speed_rating,transparency_rating,would_recommend_company,feedback_comments
1265,2024-01-07,5,3,4,4,False,
274,2024-05-18,4,4,2,5,True,"Force choose cover yourself opportunity father ability. Although seem environmental painting.
Health site relate very get. Step watch fire."
2104,2024-01-31,1,3,3,2,False,
1743,2024-02-15,3,1,4,3,True,"Drug baby four service skill member. Upon enjoy light improve.
Run pick nearly compare political. Unit development history series marriage tree politics. Purpose dinner next."
2755,2024-02-23,3,2,1,5,True,
2141,2024-01-02,3,4,2,2,False,
652,2024-03-31,3,3,1,4,False,"Follow general manage head occur recently again. Cost thus a industry who. Point ready grow check part myself address.
Home inside drive. Series he throw bar five know behavior."
2548,2024-02-01,2,2,2,4,False,"Claim party huge especially least study teacher Congress. Mother push drive. Too company feeling above. Event lawyer call.
Garden walk huge blue movement firm. Suffer once agreement company material."
2625,2024-05-08,3,3,2,2,False,
2052,2024-04-01,4,4,3,1,True,
2654,2024-04-17,3,3,4,5,True,
529,2024-01-28,4,1,4,4,True,
1311,2024-02-24,4,3,2,3,True,
2130,2024-06-03,1,2,4,1,False,
1624,2024-01-01,1,1,2,5,False,
2107,2024-05-28,1,1,4,5,True,
1133,2024-04-06,1,4,3,4,False,
435,2024-04-06,2,4,1,2,False,After stock painting hot toward.
2337,2024-06-28,2,3,4,4,False,
2778,2024-04-04,1,3,2,5,False,
2422,2024-01-01,3,3,3,4,False,Continue and believe. Any office poor deep people majority maintain page. Around against remember.
1003,2024-06-08,3,2,4,4,False,"Sea bar his physical. Trouble move away former face safe study.
Site brother fast. Cultural pass treatment turn prove wind. Wide represent future general probably possible."
901,2024-01-01,3,4,3,4,True,
690,2024-02-25,4,2,2,4,True,
1759,2024-04-08,2,4,3,4,False,
128,2024-05-16,4,2,3,4,True,"Pick local into friend career cup.
Much one author catch. Result positive happen determine marriage bar suffer. Find again ahead second law from traditional now."
1477,2024-04-06,2,2,4,4,False,
2248,2024-03-03,4,3,1,3,True,
1544,2024-01-31,2,4,1,5,False,
1147,2024-03-31,4,4,2,5,False,
679,2024-01-27,2,1,1,5,False,Among better ever that. Sound clear into fall issue tend. The hard south maintain year.
1882,2024-05-07,1,3,1,3,False,
1721,2024-04-19,1,4,2,5,False,
1969,2024-06-17,3,4,2,4,True,
1199,2024-04-17,3,3,3,4,False,
2115,2024-05-27,4,4,1,4,True,
2491,2024-06-28,1,3,3,5,True,
405,2024-01-15,1,1,1,3,False,
1817,2024-06-08,4,4,3,5,True,
789,2024-01-18,2,1,1,5,False,
11,2024-06-09,3,3,2,3,True,
1573,2024-01-07,4,1,3,3,False,
1651,2024-06-10,1,3,2,4,False,
745,2024-02-04,3,3,3,4,True,
876,2024-02-01,2,3,2,1,False,
355,2024-01-19,4,3,4,5,True,"Fill personal fire. Official wife industry him up teach.
Term she seek. Represent conference war science reduce pass."
1522,2024-06-11,2,3,2,3,False,
378,2024-05-11,4,4,1,4,True,
2170,2024-05-07,4,3,3,4,True,
370,2024-02-08,2,2,3,3,False,
2446,2024-01-11,3,3,3,3,True,
2216,2024-04-26,1,2,2,3,False,Teach carry break mind recently appear agency. Power morning behavior laugh quite. Similar cover population thing.
2051,2024-03-03,3,1,2,3,False,
613,2024-06-27,3,3,2,5,False,
1208,2024-06-27,1,3,4,3,False,
601,2024-04-21,4,1,2,3,True,
1563,2024-05-08,1,3,2,4,False,"Above attack catch soldier charge. Through result military. Truth call stage significant thank data year.
Support put herself water meeting voice. Painting material science beat deal across friend."
1482,2024-02-23,4,1,2,3,True,
1393,2024-05-17,2,4,2,1,False,"Traditional us hear station. Back together factor. Little skin most real.
There describe model meeting police rock along. Point article article drop give."
2307,2024-06-17,3,4,2,4,True,
1280,2024-05-07,1,2,1,3,False,
1698,2024-03-28,4,3,1,3,True,Language main spring nature already. Also thousand so price if paper really position. Low bill behavior hand until.
2401,2024-02-05,2,3,2,3,False,
96,2024-03-11,3,2,1,1,True,
2409,2024-04-09,2,1,2,4,True,"Hard half dream easy prevent side meeting. City hundred center life since.
Nice at form sport upon into. Painting debate spring simply according small game. Too left look his."
626,2024-04-19,3,3,4,3,True,
965,2024-04-23,4,2,2,3,True,"Soldier light turn wear break these may. Five really lose mean.
Ability owner across traditional chair. Still respond everything. Far face describe question appear."
547,2024-04-04,1,4,1,3,False,
