interview_id,candidate_id,stage,stage_date,status,outcome,feedback_score,interviewer
859,637,Phone Screen,2024-06-24,Rejected,Salary expectations too high,1.0,Angel Johnson
860,638,Application,2024-06-23,Rejected,Other,,
861,639,Application,2024-02-11,Rejected,Other,,
862,640,Application,2024-04-15,Rejected,Other,,
863,641,Application,2023-11-04,In Progress,Advancing to next stage,,
864,641,Phone Screen,2023-11-11,In Progress,Advancing to next stage,3.0,Jessica Cox
865,641,Technical Assessment,2023-11-15,Rejected,Failed technical evaluation,,
866,643,Application,2024-05-02,Rejected,Other,,
867,644,Application,2023-03-26,Rejected,Other,,
868,645,Application,2023-04-08,In Progress,Advancing to next stage,,
869,645,Phone Screen,2023-04-18,Rejected,Not a culture fit,2.0,Laura Mosley
870,646,Application,2023-08-05,In Progress,Advancing to next stage,,
871,646,Phone Screen,2023-08-05,Rejected,Did not meet requirements,,
872,647,Application,2023-02-17,Rejected,Other,,
873,648,Application,2023-07-03,In Progress,Advancing to next stage,,
874,648,Phone Screen,2023-07-03,Rejected,Did not meet requirements,,
875,649,Application,2023-05-28,Rejected,Other,,
876,650,Application,2023-06-16,Rejected,Other,,
877,651,Application,2023-12-06,In Progress,Advancing to next stage,,
878,651,Phone Screen,2023-12-06,Rejected,Did not meet requirements,,
879,652,Application,2024-05-27,Rejected,Other,,
880,653,Application,2024-03-23,In Progress,Advancing to next stage,,
881,653,Phone Screen,2024-04-02,In Progress,Advancing to next stage,4.0,Kurt Martinez
882,653,Technical Assessment,2024-04-02,Rejected,Did not meet requirements,,
883,655,Application,2024-04-06,Rejected,Other,,
884,656,Application,2024-01-20,In Progress,Advancing to next stage,,
885,656,Phone Screen,2024-01-20,Rejected,Did not meet requirements,,
886,657,Application,2024-01-25,Rejected,Other,,
887,659,Application,2023-06-07,Rejected,Other,,
888,660,Application,2024-02-03,Rejected,Other,,
889,661,Application,2023-04-04,Rejected,Other,,
890,662,Application,2024-01-04,Rejected,Other,,
891,664,Application,2024-06-08,In Progress,Advancing to next stage,,
892,664,Phone Screen,2024-06-08,Rejected,Did not meet requirements,,
893,666,Application,2023-11-29,In Progress,Advancing to next stage,,
894,666,Phone Screen,2023-11-29,Rejected,Did not meet requirements,,
895,667,Application,2024-02-28,In Progress,Advancing to next stage,,
896,667,Phone Screen,2024-02-28,Rejected,Did not meet requirements,,
897,668,Application,2023-09-06,Rejected,Other,,
898,669,Application,2024-01-25,In Progress,Advancing to next stage,,
899,669,Phone Screen,2024-01-30,Rejected,Salary expectations too high,1.0,Brandi Ibarra
900,670,Application,2023-11-05,Rejected,Other,,
901,671,Application,2023-03-06,In Progress,Advancing to next stage,,
902,671,Phone Screen,2023-03-06,Rejected,Did not meet requirements,,
903,672,Application,2024-03-07,Rejected,Other,,
904,673,Application,2024-01-05,Rejected,Other,,
905,674,Application,2024-05-22,Rejected,Other,,
906,675,Application,2024-04-13,In Progress,Advancing to next stage,,
907,675,Phone Screen,2024-04-13,Rejected,Did not meet requirements,,
908,676,Application,2023-01-07,In Progress,Advancing to next stage,,
909,676,Phone Screen,2023-01-07,Rejected,Did not meet requirements,,
910,677,Application,2024-01-25,In Progress,Advancing to next stage,,
911,677,Phone Screen,2024-01-25,Rejected,Did not meet requirements,,
912,679,Application,2023-11-25,Rejected,Other,,
913,680,Application,2023-11-18,In Progress,Advancing to next stage,,
914,680,Phone Screen,2023-11-18,Rejected,Did not meet requirements,,
915,681,Application,2023-10-26,Rejected,Other,,
916,682,Application,2023-11-30,Rejected,Other,,
917,683,Application,2024-01-09,Rejected,Other,,
918,684,Application,2023-07-04,Rejected,Other,,
919,685,Application,2024-04-17,In Progress,Advancing to next stage,,
920,685,Phone Screen,2024-04-17,Rejected,Did not meet requirements,,
921,686,Application,2023-03-12,In Progress,Advancing to next stage,,
922,686,Phone Screen,2023-03-12,Rejected,Did not meet requirements,,
923,687,Application,2023-11-07,Rejected,Other,,
924,688,Application,2024-03-09,Rejected,Other,,
925,689,Application,2024-05-05,In Progress,Advancing to next stage,,
926,689,Phone Screen,2024-05-05,Rejected,Did not meet requirements,,
927,691,Application,2024-01-04,Rejected,Other,,
928,692,Application,2023-03-29,Rejected,Other,,
929,693,Application,2023-06-20,Rejected,Other,,
930,694,Application,2024-02-14,Rejected,Other,,
931,695,Application,2023-01-11,Rejected,Other,,
932,696,Application,2024-06-06,Rejected,Other,,
933,697,Application,2023-08-15,Rejected,Other,,
934,698,Application,2024-04-19,In Progress,Advancing to next stage,,
935,698,Phone Screen,2024-04-25,Rejected,Insufficient experience,2.0,Heather Sweeney
936,699,Application,2023-12-20,Rejected,Other,,
937,700,Application,2023-10-30,In Progress,Advancing to next stage,,
938,700,Phone Screen,2023-10-30,Rejected,Did not meet requirements,,
939,702,Application,2024-04-11,Rejected,Other,,
940,703,Application,2023-12-23,Rejected,Other,,
941,704,Application,2024-04-08,In Progress,Advancing to next stage,,
942,704,Phone Screen,2024-04-15,In Progress,Advancing to next stage,5.0,Laura Guerra
943,704,Technical Assessment,2024-04-15,Rejected,Did not meet requirements,,
944,705,Application,2023-02-15,In Progress,Advancing to next stage,,
945,705,Phone Screen,2023-02-15,Rejected,Did not meet requirements,,
946,706,Application,2023-04-22,Rejected,Other,,
947,707,Application,2023-06-28,Rejected,Other,,
948,708,Application,2024-03-12,In Progress,Advancing to next stage,,
949,708,Phone Screen,2024-03-12,Rejected,Did not meet requirements,,
950,709,Application,2023-07-08,In Progress,Advancing to next stage,,
951,709,Phone Screen,2023-07-14,Rejected,Salary expectations too high,3.0,Adrian Levine
952,710,Application,2023-01-30,Rejected,Other,,
953,711,Application,2024-03-15,In Progress,Advancing to next stage,,
954,711,Phone Screen,2024-03-23,In Progress,Advancing to next stage,5.0,Abigail Acevedo
955,711,Technical Assessment,2024-03-26,In Progress,Advancing to next stage,,
956,711,First Interview,2024-03-26,Rejected,Did not meet requirements,,
957,712,Application,2023-07-30,In Progress,Advancing to next stage,,
958,712,Phone Screen,2023-07-30,Rejected,Did not meet requirements,,
959,713,Application,2023-04-15,Rejected,Other,,
960,714,Application,2023-11-30,Rejected,Other,,
961,715,Application,2023-09-26,Rejected,Other,,
962,716,Application,2024-02-02,Rejected,Other,,
963,717,Application,2023-04-27,Rejected,Other,,
964,719,Application,2023-03-28,Rejected,Other,,
965,720,Application,2023-09-02,In Progress,Advancing to next stage,,
966,720,Phone Screen,2023-09-02,Rejected,Did not meet requirements,,
967,721,Application,2024-01-18,Rejected,Other,,
968,722,Application,2024-03-04,Rejected,Other,,
969,723,Application,2024-01-28,Rejected,Other,,
970,724,Application,2023-06-27,In Progress,Advancing to next stage,,
971,724,Phone Screen,2023-06-27,Rejected,Did not meet requirements,,
972,725,Application,2023-10-23,Rejected,Other,,
973,726,Application,2024-04-06,In Progress,Advancing to next stage,,
974,726,Phone Screen,2024-04-06,Rejected,Did not meet requirements,,
975,727,Application,2023-01-10,Rejected,Other,,
976,728,Application,2024-01-29,Rejected,Other,,
977,729,Application,2024-02-23,In Progress,Advancing to next stage,,
978,729,Phone Screen,2024-02-23,Rejected,Did not meet requirements,,
979,730,Application,2024-03-30,Rejected,Other,,
980,731,Application,2023-02-01,Rejected,Other,,
981,732,Application,2023-10-09,Rejected,Other,,
982,733,Application,2023-06-22,In Progress,Advancing to next stage,,
983,733,Phone Screen,2023-06-22,Rejected,Did not meet requirements,,
984,734,Application,2024-05-22,In Progress,Advancing to next stage,,
985,734,Phone Screen,2024-05-28,In Progress,Advancing to next stage,4.0,Isabella Taylor
986,734,Technical Assessment,2024-05-28,Rejected,Did not meet requirements,,
987,736,Application,2023-02-12,Rejected,Other,,
988,737,Application,2024-03-11,Rejected,Other,,
989,738,Application,2023-02-03,Rejected,Other,,
990,739,Application,2023-03-31,Rejected,Other,,
991,740,Application,2023-08-03,In Progress,Advancing to next stage,,
992,740,Phone Screen,2023-08-03,Rejected,Did not meet requirements,,
993,741,Application,2024-03-14,Rejected,Other,,
994,742,Application,2023-07-31,Rejected,Other,,
995,743,Application,2024-06-29,Rejected,Other,,
996,744,Application,2023-11-28,Rejected,Other,,
997,746,Application,2024-02-26,Rejected,Other,,
998,747,Application,2023-05-10,Rejected,Other,,
999,748,Application,2023-11-26,In Progress,Advancing to next stage,,
1000,748,Phone Screen,2023-11-26,Rejected,Did not meet requirements,,
1001,750,Application,2024-01-20,Rejected,Other,,
1002,751,Application,2024-02-17,In Progress,Advancing to next stage,,
1003,751,Phone Screen,2024-02-17,Rejected,Did not meet requirements,,
1004,752,Application,2024-04-10,Rejected,Other,,
1005,753,Application,2023-01-03,In Progress,Advancing to next stage,,
1006,753,Phone Screen,2023-01-03,Rejected,Did not meet requirements,,
1007,754,Application,2023-03-06,Rejected,Other,,
1008,755,Application,2024-03-15,Rejected,Other,,
1009,756,Application,2023-11-27,Rejected,Other,,
1010,757,Application,2023-05-14,Rejected,Other,,
1011,758,Application,2023-02-19,Rejected,Other,,
1012,759,Application,2023-01-17,In Progress,Advancing to next stage,,
1013,759,Phone Screen,2023-01-24,Rejected,Insufficient experience,1.0,Joel Rogers
1014,760,Application,2024-04-12,Rejected,Other,,
1015,761,Application,2023-05-16,Rejected,Other,,
1016,763,Application,2024-01-16,In Progress,Advancing to next stage,,
1017,763,Phone Screen,2024-01-16,Rejected,Did not meet requirements,,
1018,764,Application,2023-11-09,Rejected,Other,,
1019,765,Application,2023-04-08,Rejected,Other,,
1020,767,Application,2024-06-15,In Progress,Advancing to next stage,,
1021,767,Phone Screen,2024-06-15,Rejected,Did not meet requirements,,
1022,768,Application,2023-12-18,In Progress,Advancing to next stage,,
1023,768,Phone Screen,2023-12-18,Rejected,Did not meet requirements,,
1024,771,Application,2024-01-12,In Progress,Advancing to next stage,,
1025,771,Phone Screen,2024-01-12,Rejected,Did not meet requirements,,
1026,772,Application,2023-05-17,In Progress,Advancing to next stage,,
1027,772,Phone Screen,2023-05-20,Rejected,Communication issues,1.0,Tyler Murray
1028,774,Application,2023-12-26,Rejected,Other,,
1029,775,Application,2024-03-29,Rejected,Other,,
1030,776,Application,2023-05-24,Rejected,Other,,
1031,777,Application,2023-12-26,Rejected,Other,,
1032,778,Application,2023-09-11,In Progress,Advancing to next stage,,
1033,778,Phone Screen,2023-09-17,In Progress,Advancing to next stage,4.0,Michael Lambert
1034,778,Technical Assessment,2023-09-19,In Progress,Advancing to next stage,,
1035,778,First Interview,2023-09-26,In Progress,Advancing to next stage,4.0,Edward Guzman
1036,778,Final Interview,2023-10-01,In Progress,Advancing to next stage,5.0,Anne Chambers
1037,778,Reference Check,2023-10-05,In Progress,Advancing to next stage,,
1038,778,Offer Extended,2023-10-12,In Progress,Advancing to next stage,,
1039,778,Hired,2023-10-26,Completed,Hired,,
1040,779,Application,2023-10-19,Rejected,Other,,
1041,780,Application,2024-06-14,Rejected,Other,,
1042,781,Application,2024-02-06,Rejected,Other,,
1043,782,Application,2024-05-21,Rejected,Other,,
1044,783,Application,2024-05-26,Rejected,Other,,
1045,784,Application,2023-01-13,Rejected,Other,,
1046,785,Application,2024-02-01,Rejected,Other,,
1047,786,Application,2023-06-26,Rejected,Other,,
1048,787,Application,2023-03-11,Rejected,Other,,
1049,789,Application,2023-10-21,Rejected,Other,,
1050,790,Application,2024-02-16,Rejected,Other,,
1051,791,Application,2023-06-06,Rejected,Other,,
1052,794,Application,2023-03-09,Rejected,Other,,
1053,795,Application,2023-03-01,In Progress,Advancing to next stage,,
1054,795,Phone Screen,2023-03-10,Rejected,Insufficient experience,1.0,Kristen Ramirez
1055,796,Application,2023-04-29,Rejected,Other,,
1056,797,Application,2023-02-26,In Progress,Advancing to next stage,,
1057,797,Phone Screen,2023-02-26,Rejected,Did not meet requirements,,
1058,798,Application,2023-01-13,In Progress,Advancing to next stage,,
1059,798,Phone Screen,2023-01-22,In Progress,Advancing to next stage,3.0,Leslie Case
1060,798,Technical Assessment,2023-01-22,Rejected,Did not meet requirements,,
1061,799,Application,2024-05-23,Rejected,Other,,
1062,800,Application,2023-09-23,In Progress,Advancing to next stage,,
1063,800,Phone Screen,2023-10-01,In Progress,Advancing to next stage,3.0,Christopher Thomas
1064,800,Technical Assessment,2023-10-04,In Progress,Advancing to next stage,,
1065,800,First Interview,2023-10-09,In Progress,Advancing to next stage,5.0,Felicia Matthews
1066,800,Final Interview,2023-10-13,In Progress,Advancing to next stage,4.0,Robert Keith
1067,800,Reference Check,2023-10-16,In Progress,Advancing to next stage,,
1068,800,Offer Extended,2023-10-21,In Progress,Advancing to next stage,,
1069,800,Hired,2023-10-26,Completed,Hired,,
1070,801,Application,2023-10-03,Rejected,Other,,
1071,802,Application,2024-03-15,Rejected,Other,,
1072,803,Application,2023-09-27,Rejected,Other,,
1073,806,Application,2023-06-11,Rejected,Other,,
1074,807,Application,2023-08-22,Rejected,Other,,
1075,808,Application,2023-01-13,Rejected,Other,,
1076,809,Application,2024-01-08,Rejected,Other,,
1077,810,Application,2023-02-06,Rejected,Other,,
1078,811,Application,2023-11-26,In Progress,Advancing to next stage,,
1079,811,Phone Screen,2023-11-26,Rejected,Did not meet requirements,,
1080,814,Application,2023-08-17,In Progress,Advancing to next stage,,
1081,814,Phone Screen,2023-08-25,Rejected,Insufficient experience,2.0,Deborah Simon
1082,815,Application,2023-03-12,Rejected,Other,,
1083,817,Application,2023-01-09,Rejected,Other,,
1084,818,Application,2023-11-08,Rejected,Other,,
1085,819,Application,2024-01-13,Rejected,Other,,
1086,821,Application,2023-01-25,Rejected,Other,,
1087,822,Application,2023-01-10,Rejected,Other,,
1088,825,Application,2023-05-26,Rejected,Other,,
1089,826,Application,2023-08-26,In Progress,Advancing to next stage,,
1090,826,Phone Screen,2023-08-26,Rejected,Did not meet requirements,,
1091,827,Application,2024-01-17,Rejected,Other,,
1092,828,Application,2023-04-08,Rejected,Other,,
1093,829,Application,2023-03-18,Rejected,Other,,
1094,830,Application,2024-03-21,Rejected,Other,,
1095,831,Application,2023-09-25,In Progress,Advancing to next stage,,
1096,831,Phone Screen,2023-09-29,In Progress,Advancing to next stage,3.0,Carlos Morrow
1097,831,Technical Assessment,2023-09-29,Rejected,Did not meet requirements,,
1098,832,Application,2023-12-01,Rejected,Other,,
1099,833,Application,2023-08-28,Rejected,Other,,
1100,834,Application,2023-04-22,In Progress,Advancing to next stage,,
1101,834,Phone Screen,2023-04-22,Rejected,Did not meet requirements,,
1102,835,Application,2024-04-05,Rejected,Other,,
1103,836,Application,2023-05-04,Rejected,Other,,
1104,837,Application,2024-04-07,In Progress,Advancing to next stage,,
1105,837,Phone Screen,2024-04-10,Rejected,Communication issues,2.0,Edward Tucker
1106,839,Application,2023-02-11,In Progress,Advancing to next stage,,
1107,839,Phone Screen,2023-02-11,Rejected,Did not meet requirements,,
1108,840,Application,2023-04-04,Rejected,Other,,
1109,841,Application,2024-06-09,In Progress,Advancing to next stage,,
1110,841,Phone Screen,2024-06-17,In Progress,Advancing to next stage,3.0,Emma Chan
1111,841,Technical Assessment,2024-06-19,In Progress,Advancing to next stage,,
1112,841,First Interview,2024-06-19,Rejected,Did not meet requirements,,
1113,842,Application,2023-06-28,Rejected,Other,,
1114,844,Application,2023-05-24,In Progress,Advancing to next stage,,
1115,844,Phone Screen,2023-05-24,Rejected,Did not meet requirements,,
1116,845,Application,2023-08-16,Rejected,Other,,
1117,846,Application,2024-01-17,Rejected,Other,,
1118,847,Application,2023-03-18,In Progress,Advancing to next stage,,
1119,847,Phone Screen,2023-03-25,Rejected,Communication issues,2.0,Ryan Thomas
1120,848,Application,2024-03-30,Rejected,Other,,
1121,849,Application,2023-05-06,Rejected,Other,,
1122,850,Application,2023-06-22,In Progress,Advancing to next stage,,
1123,850,Phone Screen,2023-06-22,Rejected,Did not meet requirements,,
1124,851,Application,2024-05-23,Rejected,Other,,
1125,852,Application,2023-06-26,Rejected,Other,,
1126,853,Application,2023-10-09,Rejected,Other,,
1127,854,Application,2023-02-05,Rejected,Other,,
1128,855,Application,2023-09-09,In Progress,Advancing to next stage,,
1129,855,Phone Screen,2023-09-09,Rejected,Did not meet requirements,,
1130,856,Application,2024-05-05,In Progress,Advancing to next stage,,
1131,856,Phone Screen,2024-05-12,Rejected,Communication issues,1.0,Holly Rivas
1132,857,Application,2024-01-28,In Progress,Advancing to next stage,,
1133,857,Phone Screen,2024-01-28,Rejected,Did not meet requirements,,
1134,858,Application,2024-06-22,Rejected,Other,,
1135,859,Application,2024-01-27,Rejected,Other,,
1136,860,Application,2024-05-11,Rejected,Other,,
1137,861,Application,2023-11-26,In Progress,Advancing to next stage,,
1138,861,Phone Screen,2023-11-26,Rejected,Did not meet requirements,,
1139,862,Application,2023-01-27,In Progress,Advancing to next stage,,
1140,862,Phone Screen,2023-01-27,Rejected,Did not meet requirements,,
1141,863,Application,2023-01-31,Rejected,Other,,
1142,864,Application,2024-06-26,Rejected,Other,,
1143,865,Application,2023-06-13,Rejected,Other,,
1144,866,Application,2023-09-30,Rejected,Other,,
1145,867,Application,2024-02-02,Rejected,Other,,
1146,868,Application,2023-08-31,Rejected,Other,,
1147,870,Application,2023-05-26,In Progress,Advancing to next stage,,
1148,870,Phone Screen,2023-05-26,Rejected,Did not meet requirements,,
1149,871,Application,2023-11-13,In Progress,Advancing to next stage,,
1150,871,Phone Screen,2023-11-20,In Progress,Advancing to next stage,5.0,Alicia Navarro
1151,871,Technical Assessment,2023-11-22,In Progress,Advancing to next stage,,
1152,871,First Interview,2023-11-24,Rejected,Not a culture fit,2.0,James Schaefer
1153,872,Application,2023-04-03,Rejected,Other,,
1154,873,Application,2023-01-21,In Progress,Advancing to next stage,,
1155,873,Phone Screen,2023-01-21,Rejected,Did not meet requirements,,
1156,874,Application,2023-12-06,Rejected,Other,,
1157,875,Application,2023-12-15,In Progress,Advancing to next stage,,
1158,875,Phone Screen,2023-12-15,Rejected,Did not meet requirements,,
1159,876,Application,2023-01-23,In Progress,Advancing to next stage,,
1160,876,Phone Screen,2023-01-27,Rejected,Not a culture fit,2.0,Jennifer Sampson
1161,877,Application,2023-04-24,Rejected,Other,,
1162,878,Application,2024-01-18,In Progress,Advancing to next stage,,
1163,878,Phone Screen,2024-01-21,In Progress,Advancing to next stage,4.0,Daniel Taylor
1164,878,Technical Assessment,2024-01-25,Rejected,Below threshold score,,
1165,879,Application,2023-12-11,Rejected,Other,,
1166,880,Application,2023-06-11,In Progress,Advancing to next stage,,
1167,880,Phone Screen,2023-06-11,Rejected,Did not meet requirements,,
1168,881,Application,2023-06-28,Rejected,Other,,
1169,882,Application,2023-08-17,Rejected,Other,,
1170,883,Application,2023-11-11,Rejected,Other,,
1171,884,Application,2023-01-02,Rejected,Other,,
1172,886,Application,2023-08-15,Rejected,Other,,
1173,887,Application,2023-05-25,In Progress,Advancing to next stage,,
1174,887,Phone Screen,2023-06-03,Rejected,Insufficient experience,1.0,Julie Thompson
1175,889,Application,2023-04-01,Rejected,Other,,
1176,891,Application,2023-12-25,Rejected,Other,,
1177,892,Application,2023-02-19,Rejected,Other,,
1178,893,Application,2023-06-20,Rejected,Other,,
1179,894,Application,2023-12-26,In Progress,Advancing to next stage,,
1180,894,Phone Screen,2024-01-01,In Progress,Advancing to next stage,3.0,Justin Murphy
1181,894,Technical Assessment,2024-01-01,Rejected,Did not meet requirements,,
1182,895,Application,2024-05-05,Rejected,Other,,
1183,896,Application,2024-04-07,Rejected,Other,,
1184,897,Application,2023-01-21,In Progress,Advancing to next stage,,
1185,897,Phone Screen,2023-01-31,In Progress,Advancing to next stage,4.0,Rachel Smith
1186,897,Technical Assessment,2023-02-03,Rejected,Below threshold score,,
1187,898,Application,2023-03-17,In Progress,Advancing to next stage,,
1188,898,Phone Screen,2023-03-17,Rejected,Did not meet requirements,,
1189,899,Application,2023-06-14,Rejected,Other,,
1190,900,Application,2023-12-13,Rejected,Other,,
1191,901,Application,2023-02-01,Rejected,Other,,
1192,903,Application,2023-12-06,Rejected,Other,,
1193,904,Application,2023-09-29,Rejected,Other,,
1194,905,Application,2023-04-09,Rejected,Other,,
1195,906,Application,2024-05-17,Rejected,Other,,
1196,907,Application,2023-01-04,Rejected,Other,,
1197,908,Application,2024-05-06,Rejected,Other,,
1198,909,Application,2023-07-31,In Progress,Advancing to next stage,,
1199,909,Phone Screen,2023-07-31,Rejected,Did not meet requirements,,
1200,910,Application,2024-04-29,Rejected,Other,,
1201,911,Application,2024-04-27,In Progress,Advancing to next stage,,
1202,911,Phone Screen,2024-04-27,Rejected,Did not meet requirements,,
1203,912,Application,2024-02-01,Rejected,Other,,
1204,913,Application,2024-01-14,Rejected,Other,,
1205,914,Application,2023-09-27,Rejected,Other,,
1206,916,Application,2023-06-04,Rejected,Other,,
1207,917,Application,2024-02-28,Rejected,Other,,
1208,918,Application,2024-02-01,In Progress,Advancing to next stage,,
1209,918,Phone Screen,2024-02-01,Rejected,Did not meet requirements,,
1210,919,Application,2024-05-01,In Progress,Advancing to next stage,,
1211,919,Phone Screen,2024-05-01,Rejected,Did not meet requirements,,
1212,920,Application,2023-11-03,In Progress,Advancing to next stage,,
1213,920,Phone Screen,2023-11-12,In Progress,Advancing to next stage,4.0,Joseph Dougherty
1214,920,Technical Assessment,2023-11-13,In Progress,Advancing to next stage,,
1215,920,First Interview,2023-11-13,Rejected,Did not meet requirements,,
1216,921,Application,2024-05-29,Rejected,Other,,
1217,922,Application,2023-05-31,In Progress,Advancing to next stage,,
1218,922,Phone Screen,2023-05-31,Rejected,Did not meet requirements,,
1219,923,Application,2023-06-21,In Progress,Advancing to next stage,,
1220,923,Phone Screen,2023-06-21,Rejected,Did not meet requirements,,
1221,924,Application,2023-02-13,Rejected,Other,,
1222,925,Application,2023-07-26,In Progress,Advancing to next stage,,
1223,925,Phone Screen,2023-07-31,In Progress,Advancing to next stage,4.0,Catherine Barker
1224,925,Technical Assessment,2023-07-31,Rejected,Did not meet requirements,,
1225,927,Application,2024-02-11,Rejected,Other,,
1226,928,Application,2024-06-16,Rejected,Other,,
1227,929,Application,2024-06-19,Rejected,Other,,
1228,930,Application,2023-06-03,Rejected,Other,,
1229,932,Application,2023-10-20,In Progress,Advancing to next stage,,
1230,932,Phone Screen,2023-10-20,Rejected,Did not meet requirements,,
1231,935,Application,2024-02-17,In Progress,Advancing to next stage,,
1232,935,Phone Screen,2024-02-23,Rejected,Salary expectations too high,2.0,Cynthia Taylor
1233,936,Application,2024-02-16,Rejected,Other,,
1234,937,Application,2023-09-01,Rejected,Other,,
1235,938,Application,2024-01-17,In Progress,Advancing to next stage,,
1236,938,Phone Screen,2024-01-20,Rejected,Not a culture fit,3.0,James Peck
1237,939,Application,2023-11-15,In Progress,Advancing to next stage,,
1238,939,Phone Screen,2023-11-15,Rejected,Did not meet requirements,,
1239,940,Application,2023-04-11,Rejected,Other,,
1240,941,Application,2024-03-29,In Progress,Advancing to next stage,,
1241,941,Phone Screen,2024-03-29,Rejected,Did not meet requirements,,
1242,942,Application,2023-04-02,Rejected,Other,,
1243,943,Application,2024-02-21,In Progress,Advancing to next stage,,
1244,943,Phone Screen,2024-02-21,Rejected,Did not meet requirements,,
1245,944,Application,2023-02-27,In Progress,Advancing to next stage,,
1246,944,Phone Screen,2023-02-27,Rejected,Did not meet requirements,,
1247,945,Application,2023-11-15,Rejected,Other,,
1248,947,Application,2023-07-17,Rejected,Other,,
1249,948,Application,2023-02-03,In Progress,Advancing to next stage,,
1250,948,Phone Screen,2023-02-03,Rejected,Did not meet requirements,,
1251,949,Application,2023-07-23,In Progress,Advancing to next stage,,
1252,949,Phone Screen,2023-07-29,Rejected,Not a culture fit,2.0,Rebecca Brooks
1253,950,Application,2024-06-01,In Progress,Advancing to next stage,,
1254,950,Phone Screen,2024-06-01,Rejected,Did not meet requirements,,
1255,951,Application,2023-09-05,Rejected,Other,,
1256,952,Application,2024-04-01,Rejected,Other,,
1257,953,Application,2023-12-25,In Progress,Advancing to next stage,,
1258,953,Phone Screen,2023-12-25,Rejected,Did not meet requirements,,
1259,954,Application,2023-04-03,In Progress,Advancing to next stage,,
1260,954,Phone Screen,2023-04-07,In Progress,Advancing to next stage,3.0,Mr. Gregory Hart
1261,954,Technical Assessment,2023-04-07,Rejected,Did not meet requirements,,
1262,955,Application,2023-02-20,Rejected,Other,,
1263,956,Application,2023-08-15,Rejected,Other,,
1264,957,Application,2024-02-24,Rejected,Other,,
1265,960,Application,2023-11-09,Rejected,Other,,
1266,961,Application,2023-12-24,Rejected,Other,,
1267,962,Application,2024-04-22,Rejected,Other,,
1268,963,Application,2024-02-11,In Progress,Advancing to next stage,,
1269,963,Phone Screen,2024-02-17,Rejected,Not a culture fit,2.0,Tiffany Davis
1270,964,Application,2024-06-07,Rejected,Other,,
1271,965,Application,2023-10-17,Rejected,Other,,
1272,966,Application,2023-03-07,Rejected,Other,,
1273,967,Application,2023-10-11,In Progress,Advancing to next stage,,
1274,967,Phone Screen,2023-10-17,In Progress,Advancing to next stage,3.0,Vanessa Bishop
1275,967,Technical Assessment,2023-10-17,Rejected,Did not meet requirements,,
1276,969,Application,2024-02-18,Rejected,Other,,
1277,970,Application,2024-05-24,Rejected,Other,,
1278,971,Application,2024-02-19,Rejected,Other,,
1279,972,Application,2023-07-14,Rejected,Other,,
1280,973,Application,2024-05-02,Rejected,Other,,
1281,974,Application,2023-06-24,Rejected,Other,,
1282,975,Application,2023-04-10,Rejected,Other,,
1283,976,Application,2023-09-22,Rejected,Other,,
1284,977,Application,2023-12-10,Rejected,Other,,
1285,978,Application,2023-08-17,In Progress,Advancing to next stage,,
1286,978,Phone Screen,2023-08-17,Rejected,Did not meet requirements,,
1287,979,Application,2024-01-16,Rejected,Other,,
1288,980,Application,2024-04-19,In Progress,Advancing to next stage,,
1289,980,Phone Screen,2024-04-29,Rejected,Salary expectations too high,2.0,Stacey Rodriguez
1290,982,Application,2023-05-03,Rejected,Other,,
1291,983,Application,2024-02-28,Rejected,Other,,
1292,984,Application,2023-07-25,Rejected,Other,,
1293,985,Application,2024-04-13,Rejected,Other,,
1294,986,Application,2023-03-24,Rejected,Other,,
1295,987,Application,2023-11-17,In Progress,Advancing to next stage,,
1296,987,Phone Screen,2023-11-17,Rejected,Did not meet requirements,,
1297,988,Application,2023-10-08,In Progress,Advancing to next stage,,
1298,988,Phone Screen,2023-10-08,Rejected,Did not meet requirements,,
1299,989,Application,2023-06-12,In Progress,Advancing to next stage,,
1300,989,Phone Screen,2023-06-17,In Progress,Advancing to next stage,4.0,Angelica Lopez
1301,989,Technical Assessment,2023-06-21,In Progress,Advancing to next stage,,
1302,989,First Interview,2023-06-29,In Progress,Advancing to next stage,3.0,Spencer Manning
1303,989,Final Interview,2023-07-09,In Progress,Advancing to next stage,5.0,Robert Bauer
1304,989,Reference Check,2023-07-13,Rejected,Poor references,,
1305,990,Application,2024-03-20,Rejected,Other,,
1306,992,Application,2023-07-24,In Progress,Advancing to next stage,,
1307,992,Phone Screen,2023-07-24,Rejected,Did not meet requirements,,
1308,993,Application,2024-06-27,In Progress,Advancing to next stage,,
1309,993,Phone Screen,2024-06-27,Rejected,Did not meet requirements,,
1310,995,Application,2023-05-13,In Progress,Advancing to next stage,,
1311,995,Phone Screen,2023-05-18,In Progress,Advancing to next stage,5.0,Keith Gonzalez
1312,995,Technical Assessment,2023-05-23,In Progress,Advancing to next stage,,
1313,995,First Interview,2023-05-26,In Progress,Advancing to next stage,4.0,Benjamin Jordan
1314,995,Final Interview,2023-06-03,In Progress,Advancing to next stage,3.0,Adrian Krueger
1315,995,Reference Check,2023-06-06,In Progress,Advancing to next stage,,
1316,995,Offer Extended,2023-06-07,In Progress,Advancing to next stage,,
1317,995,Hired,2023-06-13,Completed,Hired,,
1318,997,Application,2023-10-25,Rejected,Other,,
1319,998,Application,2024-06-20,Rejected,Other,,
